CircleName,Abbrev,LatLong
Madison,WIMA,43.0747080000/-89.3843050000

CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
124,40.0 Fahrenheit,44.0 Fahrenheit,Cloudy,Cloudy,None,Heavy,"Heavy
None",None
123,22.0 Fahrenheit,23.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
122,18.0 Fahrenheit,33.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
121,34.0 Fahrenheit,35.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
120,17.0 Fahrenheit,30.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,None
119,25.0 Fahrenheit,44.0 Fahrenheit,Clear,Clear,None,None,None,None
118,28.0 Fahrenheit,40.0 Fahrenheit,Clear,Clear,None,None,None,Light
117,7.0 Fahrenheit,17.0 Fahrenheit,Cloudy,Cloudy,"Light
None",None,Light,Heavy
116,11.0 Fahrenheit,27.0 Fahrenheit,Clear,Clear,None,None,None,None
115,26.0 Fahrenheit,31.0 Fahrenheit,Cloudy,Cloudy,Light,Light,None,None
114,10.0 Fahrenheit,23.0 Fahrenheit,Cloudy,Cloudy,None,None,None,Light
113,37.0 Fahrenheit,46.0 Fahrenheit,Local Fog,Local Fog,Light,Light,,
112, , ,,,,,,
111,8.0 Fahrenheit,18.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
110,26.0 Fahrenheit,30.0 Fahrenheit,Cloudy,Cloudy,None,None,None,Light
109,9.0 Fahrenheit,26.0 Fahrenheit,Partly Clear,Partly Clear,None,"Heavy
None",Light,Heavy
108,7.0 Fahrenheit,25.0 Fahrenheit,Partly Clear,Partly Clear,None,None,Light,Heavy
107,29.0 Fahrenheit,48.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,"Light
None",None,None
106,6.0 Fahrenheit,16.0 Fahrenheit,Clear,Clear,None,None,None,None
105,23.0 Fahrenheit,36.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,Light
103,31.0 Fahrenheit,38.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
102,25.0 Fahrenheit,40.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
101,23.0 Fahrenheit,32.0 Fahrenheit,Cloudy,Cloudy,None,None,Light,None
100,3.0 Fahrenheit,22.0 Fahrenheit,Clear,Clear,None,None,None,None
99,17.0 Fahrenheit,30.0 Fahrenheit,Clear,Clear,None,None,None,None
98,15.0 Fahrenheit,32.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
97,17.0 Fahrenheit,30.0 Fahrenheit,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
96,7.0 Fahrenheit,25.0 Fahrenheit,Clear,Clear,Unknown,Unknown,Unknown,Unknown
95,27.0 Fahrenheit,36.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
94,34.0 Fahrenheit,40.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
93,16.0 Fahrenheit,34.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
92,19.0 Fahrenheit,23.0 Fahrenheit,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
91,21.0 Fahrenheit,30.0 Fahrenheit,Foggy,Foggy,Unknown,Unknown,Unknown,Unknown
90,-8.0 ,10.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
89,11.0 ,21.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
88,30.0 ,37.0 ,Cloudy,Cloudy,None,Light,None,None
87,20.0 ,34.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
86,-16.0 ,12.0 ,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
85,31.0 ,38.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
84,-6.0 ,4.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
83,31.0 ,43.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
82,0.0 ,17.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
81,-3.0 ,14.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
80,28.0 ,46.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
72,8.0 ,22.0 ,Cloudy,Cloudy,None,None,Light,None
71,6.0 ,28.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
70,7.0 ,25.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
69,21.0 ,30.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
68,1.0 ,18.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
67,6.0 ,20.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
66,6.0 ,20.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
65,6.0 ,21.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
64,-10.0 ,9.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
63,26.0 ,30.0 ,Unknown,Unknown,None,None,Light,Light

CountYear5,LowTemp3,HighTemp2,AMCloud2,PMClouds2
Count Date: 12/18/1993
# Participants: 
# Species Reported: 89
Total Hrs.: 229.50",45,0.1961,
"Bufflehead
[Bucephala albeola]","1994 [95]
Count Date: 12/17/1994
# Participants: 
# Species Reported: 87
Total Hrs.: 266.50",232,0.8705,
"Bufflehead
[Bucephala albeola]","1995 [96]
Count Date: 12/16/1995
# Participants: 
# Species Reported: 78
Total Hrs.: 241.00",6,0.0249,
"Bufflehead
[Bucephala albeola]","1996 [97]
Count Date: 12/21/1996
# Participants: 
# Species Reported: 78
Total Hrs.: 237.00",2,0.0084,
"Bufflehead
[Bucephala albeola]","1997 [98]
Count Date: 12/20/1997
# Participants: 
# Species Reported: 94
Total Hrs.: 240.50",353,1.4678,
"Bufflehead
[Bucephala albeola]","1998 [99]
Count Date: 12/19/1998
# Participants: 
# Species Reported: 95
Total Hrs.: 257.00",360,1.4008,
"Bufflehead
[Bucephala albeola]","1999 [100]
Count Date: 12/18/1999
# Participants: 
# Species Reported: 86
Total Hrs.: 247.00",196,0.7935,
"Bufflehead
[Bucephala albeola]","2000 [101]
Count Date: 12/16/2000
# Participants: 
# Species Reported: 81
Total Hrs.: 221.00",4,0.0181,
"Bufflehead
[Bucephala albeola]","2001 [102]
Count Date: 12/15/2001
# Participants: 
# Species Reported: 89
Total Hrs.: 237.25",364,1.5342,"HC,"
"Bufflehead
[Bucephala albeola]","2002 [103]
Count Date: 12/14/2002
# Participants: 
# Species Reported: 85
Total Hrs.: 249.00",147,0.5904,
"Bufflehead
[Bucephala albeola]","2004 [105]
Count Date: 12/18/2004
# Participants: 41
# Species Reported: 84
Total Hrs.: 223.00",283,1.2691,
"Bufflehead
[Bucephala albeola]","2005 [106]
Count Date: 12/17/2005
# Participants: 53
# Species Reported: 84
Total Hrs.: 181.00",117,0.6464,
"Bufflehead
[Bucephala albeola]","2006 [107]
Count Date: 12/16/2006
# Participants: 66
# Species Reported: 89
Total Hrs.: 222.00",317,1.4279,
"Bufflehead
[Bucephala albeola]","2007 [108]
Count Date: 12/15/2007
# Participants: 91
# Species Reported: 85
Total Hrs.: 193.95",205,1.0570,
"Bufflehead
[Bucephala albeola]","2008 [109]
Count Date: 12/20/2008
# Participants: 81
# Species Reported: 83
Total Hrs.: 224.00",,,
"Bufflehead
[Bucephala albeola]","2009 [110]
Count Date: 12/19/2009
# Participants: 110
# Species Reported: 93
Total Hrs.: 252.00",99,0.3929,
"Bufflehead
[Bucephala albeola]","2010 [111]
Count Date: 12/18/2010
# Participants: 91
# Species Reported: 83
Total Hrs.: 229.75",cw,0.0000,
"Bufflehead
[Bucephala albeola]","2011 [112]
Count Date: 12/17/2011
# Participants: 98
# Species Reported: 93
Total Hrs.: 247.90",415,1.6741,
"Bufflehead
[Bucephala albeola]","2012 [113]
Count Date: 12/15/2012
# Participants: 91
# Species Reported: 87
Total Hrs.: 232.42",758,3.2613,
"Bufflehead
[Bucephala albeola]","2013 [114]
Count Date: 12/14/2013
# Participants: 116
# Species Reported: 77
Total Hrs.: 228.80",30,0.1311,
"Bufflehead
[Bucephala albeola]","2014 [115]
Count Date: 12/20/2014
# Participants: 108
# Species Reported: 92
Total Hrs.: 262.30",126,0.4804,
"Bufflehead
[Bucephala albeola]","2015 [116]
Count Date: 12/19/2015
# Participants: 114
# Species Reported: 90
Total Hrs.: 236.45",452,1.9116,
"Bufflehead
[Bucephala albeola]","2016 [117]
Count Date: 12/17/2016
# Participants: 105
# Species Reported: 89
Total Hrs.: 227.65",151,0.6633,
"Bufflehead
[Bucephala albeola]","2017 [118]
Count Date: 12/16/2017
# Participants: 120
# Species Reported: 97
Total Hrs.: 283.90",417,1.4688,
"Bufflehead
[Bucephala albeola]","2018 [119]
Count Date: 12/15/2018
# Participants: 121
# Species Reported: 94
Total Hrs.: 278.75",172,0.6170,
"Bufflehead
[Bucephala albeola]","2019 [120]
Count Date: 12/14/2019
# Participants: 130
# Species Reported: 91
Total Hrs.: 349.05",241,0.6904,
"Bufflehead
[Bucephala albeola]","2020 [121]
Count Date: 12/19/2020
# Participants: 159
# Species Reported: 97
Total Hrs.: 399.00",440,1.1028,
"Bufflehead
[Bucephala albeola]","2021 [122]
Count Date: 12/18/2021
# Participants: 121
# Species Reported: 96
Total Hrs.: 351.45",1009,2.8710,"HC,"
"Bufflehead
[Bucephala albeola]","2022 [123]
Count Date: 12/17/2022
# Participants: 212
# Species Reported: 98
Total Hrs.: 414.11",1157,2.7939,"HC,"
"Bufflehead
[Bucephala albeola]","2023 [124]
Count Date: 12/16/2023
# Participants: 221
# Species Reported: 94
Total Hrs.: 381.00",939,2.4646,
"Common Goldeneye
[Bucephala clangula]","1946 [47]
Count Date: 12/24/1946
# Participants: 
# Species Reported: 
Total Hrs.: ",300,0.0000,
"Common Goldeneye
[Bucephala clangula]","1950 [51]
Count Date: 12/29/1950
# Participants: 
# Species Reported: 
Total Hrs.: 22.00",3,0.1364,
"Common Goldeneye
[Bucephala clangula]","1951 [52]
Count Date: 12/30/1951
# Participants: 
# Species Reported: 
Total Hrs.: 50.00",5,0.1000,
"Common Goldeneye
[Bucephala clangula]","1952 [53]
Count Date: 12/21/1952
# Participants: 
# Species Reported: 
Total Hrs.: 45.00",945,21.0000,
"Common Goldeneye
[Bucephala clangula]","1953 [54]
Count Date: 1/2/1954
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",27,0.4154,
"Common Goldeneye
[Bucephala clangula]","1954 [55]
Count Date: 12/26/1954
# Participants: 
# Species Reported: 
Total Hrs.: 83.00",837,10.0843,
"Common Goldeneye
[Bucephala clangula]","1955 [56]
Count Date: 12/26/1955
# Participants: 
# Species Reported: 
Total Hrs.: 79.00",27,0.3418,
"Common Goldeneye
[Bucephala clangula]","1956 [57]
Count Date: 12/22/1956
# Participants: 
# Species Reported: 
Total Hrs.: 99.00",173,1.7475,
"Common Goldeneye
[Bucephala clangula]","1957 [58]
Count Date: 12/21/1957
# Participants: 
# Species Reported: 
Total Hrs.: 116.00",527,4.5431,
"Common Goldeneye
[Bucephala clangula]","1958 [59]
Count Date: 12/20/1958
# Participants: 
# Species Reported: 
Total Hrs.: 95.00",2,0.0211,
"Common Goldeneye
[Bucephala clangula]","1959 [60]
Count Date: 12/26/1959
# Participants: 
# Species Reported: 
Total Hrs.: 82.00",7,0.0854,
"Common Goldeneye
[Bucephala clangula]","1960 [61]
Count Date: 12/26/1960
# Participants: 
# Species Reported: 
Total Hrs.: 93.00",,,
"Common Goldeneye
[Bucephala clangula]","1961 [62]
Count Date: 12/23/1961
# Participants: 
# Species Reported: 
Total Hrs.: ",4,0.0000,
"Common Goldeneye
[Bucephala clangula]","1962 [63]
Count Date: 12/22/1962
# Participants: 
# Species Reported: 
Total Hrs.: 69.00",270,3.9130,
"Common Goldeneye
[Bucephala clangula]","1963 [64]
Count Date: 12/21/1963
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",34,0.5231,
"Common Goldeneye
[Bucephala clangula]","1964 [65]
Count Date: 12/26/1964
# Participants: 
# Species Reported: 
Total Hrs.: 70.00",3,0.0429,
"Common Goldeneye
[Bucephala clangula]","1965 [66]
Count Date: 12/26/1965
# Participants: 
# Species Reported: 
Total Hrs.: 91.00",140,1.5385,
"Common Goldeneye
[Bucephala clangula]","1966 [67]
Count Date: 12/26/1966
# Participants: 
# Species Reported: 
Total Hrs.: 94.00",230,2.4468,
"Common Goldeneye
[Bucephala clangula]","1967 [68]
Count Date: 12/23/1967
# Participants: 
# Species Reported: 
Total Hrs.: 86.00",440,5.1163,
"Common Goldeneye
[Bucephala clangula]","1968 [69]
Count Date: 12/21/1968
# Participants: 
# Species Reported: 
Total Hrs.: 78.00",220,2.8205,
"Common Goldeneye
[Bucephala clangula]","1969 [70]
Count Date: 12/20/1969
# Participants: 
# Species Reported: 
Total Hrs.: 49.00",200,4.0816,
"Common Goldeneye
[Bucephala clangula]","1970 [71]
Count Date: 12/26/1970
# Participants: 
# Species Reported: 
Total Hrs.: 88.00",57,0.6477,
"Common Goldeneye
[Bucephala clangula]","1971 [72]
Count Date: 12/18/1971
# Participants: 
# Species Reported: 
Total Hrs.: 104.00",580,5.5769,
"Common Goldeneye
[Bucephala clangula]","1972 [73]
Count Date: 12/16/1972
# Participants: 
# Species Reported: 
Total Hrs.: 122.00",6,0.0492,
"Common Goldeneye
[Bucephala clangula]","1973 [74]
Count Date: 12/15/1973
# Participants: 
# Species Reported: 
Total Hrs.: 135.00",326,2.4148,
"Common Goldeneye
[Bucephala clangula]","1974 [75]
Count Date: 12/14/1974
# Participants: 
# Species Reported: 
Total Hrs.: 192.00",470,2.4479,
"Common Goldeneye
[Bucephala clangula]","1975 [76]
Count Date: 12/21/1975
# Participants: 
# Species Reported: 
Total Hrs.: 180.00",890,4.9444,
"Common Goldeneye
[Bucephala clangula]","1976 [77]
Count Date: 12/18/1976
# Participants: 
# Species Reported: 
Total Hrs.: 196.00",4,0.0204,
"Common Goldeneye
[Bucephala clangula]","1977 [78]
Count Date: 12/17/1977
# Participants: 
# Species Reported: 
Total Hrs.: 169.00",76,0.4497,
"Common Goldeneye
[Bucephala clangula]","1978 [79]
Count Date: 12/16/1978
# Participants: 
# Species Reported: 
Total Hrs.: 185.00",339,1.8324,
"Common Goldeneye
[Bucephala clangula]","1979 [80]
Count Date: 12/15/1979
# Participants: 
# Species Reported: 
Total Hrs.: 182.50",552,3.0247,
"Common Goldeneye
[Bucephala clangula]","1980 [81]
Count Date: 12/20/1980
# Participants: 
# Species Reported: 
Total Hrs.: 189.00",398,2.1058,
"Common Goldeneye
[Bucephala clangula]","1981 [82]
Count Date: 12/19/1981
# Participants: 
# Species Reported: 
Total Hrs.: 202.00",126,0.6238,
"Common Goldeneye
[Bucephala clangula]","1982 [83]
Count Date: 12/18/1982
# Participants: 
# Species Reported: 
Total Hrs.: 233.00",854,3.6652,
"Common Goldeneye
[Bucephala clangula]","1983 [84]
Count Date: 12/17/1983
# Participants: 
# Species Reported: 
Total Hrs.: 190.00",207,1.0895,
"Common Goldeneye
[Bucephala clangula]","1984 [85]
Count Date: 12/15/1984
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",211,0.9378,
"Common Goldeneye
[Bucephala clangula]","1985 [86]
Count Date: 12/21/1985
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",205,0.9111,
"Common Goldeneye
[Bucephala clangula]","1986 [87]
Count Date: 12/20/1986
# Participants: 
# Species Reported: 
Total Hrs.: 220.00",205,0.9318,
"Common Goldeneye
[Bucephala clangula]","1987 [88]
Count Date: 12/19/1987
# Participants: 
# Species Reported: 
Total Hrs.: 228.00",351,1.5395,
"Common Goldeneye
[Bucephala clangula]","1988 [89]
Count Date: 12/17/1988
# Participants: 
# Species Reported: 
Total Hrs.: 243.00",528,2.1728,
"Common Goldeneye
[Bucephala clangula]","1989 [90]
Count Date: 12/16/1989
# Participants: 
# Species Reported: 
Total Hrs.: 215.00",31,0.1442,
"Common Goldeneye
[Bucephala clangula]","1990 [91]
Count Date: 12/16/1990
# Participants: 
# Species Reported: 84
Total Hrs.: 179.75",317,1.7636,
"Common Goldeneye
[Bucephala clangula]","1991 [92]
Count Date: 12/14/1991
# Participants: 
# Species Reported: 81
Total Hrs.: 218.75",176,0.8046,
"Common Goldeneye
[Bucephala clangula]","1992 [93]
Count Date: 12/19/1992
# Participants: 
# Species Reported: 86
Total Hrs.: 276.75",282,1.0190,
"Common Goldeneye
[Bucephala clangula]","1993 [94]
Count Date: 12/18/1993
# Participants: 
# Species Reported: 89
Total Hrs.: 229.50",295,1.2854,
"Common Goldeneye
[Bucephala clangula]","1994 [95]
Count Date: 12/17/1994
# Participants: 
# Species Reported: 87
Total Hrs.: 266.50",467,1.7523,
"Common Goldeneye
[Bucephala clangula]","1995 [96]
Count Date: 12/16/1995
# Participants: 
# Species Reported: 78
Total Hrs.: 241.00",51,0.2116,
"Common Goldeneye
[Bucephala clangula]","1996 [97]
Count Date: 12/21/1996
# Participants: 
# Species Reported: 78
Total Hrs.: 237.00",35,0.1477,
"Common Goldeneye
[Bucephala clangula]","1997 [98]
Count Date: 12/20/1997
# Participants: 
# Species Reported: 94
Total Hrs.: 240.50",320,1.3306,
"Common Goldeneye
[Bucephala clangula]","1998 [99]
Count Date: 12/19/1998
# Participants: 
# Species Reported: 95
Total Hrs.: 257.00",284,1.1051,
"Common Goldeneye
[Bucephala clangula]","1999 [100]
Count Date: 12/18/1999
# Participants: 
# Species Reported: 86
Total Hrs.: 247.00",354,1.4332,
"Common Goldeneye
[Bucephala clangula]","2000 [101]
Count Date: 12/16/2000
# Participants: 
# Species Reported: 81
Total Hrs.: 221.00",41,0.1855,
"Common Goldeneye
[Bucephala clangula]","2001 [102]
Count Date: 12/15/2001
# Participants: 
# Species Reported: 89
Total Hrs.: 237.25",207,0.8725,
"Common Goldeneye
[Bucephala clangula]","2002 [103]
Count Date: 12/14/2002
# Participants: 
# Species Reported: 85
Total Hrs.: 249.00",388,1.5582,
"Common Goldeneye
[Bucephala clangula]","2004 [105]
Count Date: 12/18/2004
# Participants: 41
# Species Reported: 84
Total Hrs.: 223.00",270,1.2108,
"Common Goldeneye
[Bucephala clangula]","2005 [106]
Count Date: 12/17/2005
# Participants: 53
# Species Reported: 84
Total Hrs.: 181.00",230,1.2707,
"Common Goldeneye
[Bucephala clangula]","2006 [107]
Count Date: 12/16/2006
# Participants: 66
# Species Reported: 89
Total Hrs.: 222.00",454,2.0450,
"Common Goldeneye
[Bucephala clangula]","2007 [108]
Count Date: 12/15/2007
# Participants: 91
# Species Reported: 85
Total Hrs.: 193.95",553,2.8513,
"Common Goldeneye
[Bucephala clangula]","2008 [109]
Count Date: 12/20/2008
# Participants: 81
# Species Reported: 83
Total Hrs.: 224.00",22,0.0982,
"Common Goldeneye
[Bucephala clangula]","2009 [110]
Count Date: 12/19/2009
# Participants: 110
# Species Reported: 93
Total Hrs.: 252.00",482,1.9127,
"Common Goldeneye
[Bucephala clangula]","2010 [111]
Count Date: 12/18/2010
# Participants: 91
# Species Reported: 83
Total Hrs.: 229.75",27,0.1175,
"Common Goldeneye
[Bucephala clangula]","2011 [112]
Count Date: 12/17/2011
# Participants: 98
# Species Reported: 93
Total Hrs.: 247.90",726,2.9286,
"Common Goldeneye
[Bucephala clangula]","2012 [113]
Count Date: 12/15/2012
# Participants: 91
# Species Reported: 87
Total Hrs.: 232.42",524,2.2545,
"Common Goldeneye
[Bucephala clangula]","2013 [114]
Count Date: 12/14/2013
# Participants: 116
# Species Reported: 77
Total Hrs.: 228.80",323,1.4117,
"Common Goldeneye
[Bucephala clangula]","2014 [115]
Count Date: 12/20/2014
# Participants: 108
# Species Reported: 92
Total Hrs.: 262.30",687,2.6191,
"Common Goldeneye
[Bucephala clangula]","2015 [116]
Count Date: 12/19/2015
# Participants: 114
# Species Reported: 90
Total Hrs.: 236.45",1109,4.6902,
"Common Goldeneye
[Bucephala clangula]","2016 [117]
Count Date: 12/17/2016
# Participants: 105
# Species Reported: 89
Total Hrs.: 227.65",1142,5.0165,
"Common Goldeneye
[Bucephala clangula]","2017 [118]
Count Date: 12/16/2017
# Participants: 120
# Species Reported: 97
Total Hrs.: 283.90",798,2.8108,
"Common Goldeneye
[Bucephala clangula]","2018 [119]
Count Date: 12/15/2018
# Participants: 121
# Species Reported: 94
Total Hrs.: 278.75",1227,4.4018,
"Common Goldeneye
[Bucephala clangula]","2019 [120]
Count Date: 12/14/2019
# Participants: 130
# Species Reported: 91
Total Hrs.: 349.05",2317,6.6380,"HC,"
"Common Goldeneye
[Bucephala clangula]","2020 [121]
Count Date: 12/19/2020
# Participants: 159
# Species Reported: 97
Total Hrs.: 399.00",2048,5.1328,
"Common Goldeneye
[Bucephala clangula]","2021 [122]
Count Date: 12/18/2021
# Participants: 121
# Species Reported: 96
Total Hrs.: 351.45",1681,4.7830,
"Common Goldeneye
[Bucephala clangula]","2022 [123]
Count Date: 12/17/2022
# Participants: 212
# Species Reported: 98
Total Hrs.: 414.11",2095,5.0590,
"Common Goldeneye
[Bucephala clangula]","2023 [124]
Count Date: 12/16/2023
# Participants: 221
# Species Reported: 94
Total Hrs.: 381.00",2273,5.9659,
"Barrow's Goldeneye
[Bucephala islandica]","1946 [47]
Count Date: 12/24/1946
# Participants: 
# Species Reported: 
Total Hrs.: ",,,
"Barrow's Goldeneye
[Bucephala islandica]","1950 [51]
Count Date: 12/29/1950
# Participants: 
# Species Reported: 
Total Hrs.: 22.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1951 [52]
Count Date: 12/30/1951
# Participants: 
# Species Reported: 
Total Hrs.: 50.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1952 [53]
Count Date: 12/21/1952
# Participants: 
# Species Reported: 
Total Hrs.: 45.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1953 [54]
Count Date: 1/2/1954
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1954 [55]
Count Date: 12/26/1954
# Participants: 
# Species Reported: 
Total Hrs.: 83.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1955 [56]
Count Date: 12/26/1955
# Participants: 
# Species Reported: 
Total Hrs.: 79.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1956 [57]
Count Date: 12/22/1956
# Participants: 
# Species Reported: 
Total Hrs.: 99.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1957 [58]
Count Date: 12/21/1957
# Participants: 
# Species Reported: 
Total Hrs.: 116.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1958 [59]
Count Date: 12/20/1958
# Participants: 
# Species Reported: 
Total Hrs.: 95.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1959 [60]
Count Date: 12/26/1959
# Participants: 
# Species Reported: 
Total Hrs.: 82.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1960 [61]
Count Date: 12/26/1960
# Participants: 
# Species Reported: 
Total Hrs.: 93.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1961 [62]
Count Date: 12/23/1961
# Participants: 
# Species Reported: 
Total Hrs.: ",,,
"Barrow's Goldeneye
[Bucephala islandica]","1962 [63]
Count Date: 12/22/1962
# Participants: 
# Species Reported: 
Total Hrs.: 69.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1963 [64]
Count Date: 12/21/1963
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1964 [65]
Count Date: 12/26/1964
# Participants: 
# Species Reported: 
Total Hrs.: 70.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1965 [66]
Count Date: 12/26/1965
# Participants: 
# Species Reported: 
Total Hrs.: 91.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1966 [67]
Count Date: 12/26/1966
# Participants: 
# Species Reported: 
Total Hrs.: 94.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1967 [68]
Count Date: 12/23/1967
# Participants: 
# Species Reported: 
Total Hrs.: 86.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1968 [69]
Count Date: 12/21/1968
# Participants: 
# Species Reported: 
Total Hrs.: 78.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1969 [70]
Count Date: 12/20/1969
# Participants: 
# Species Reported: 
Total Hrs.: 49.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1970 [71]
Count Date: 12/26/1970
# Participants: 
# Species Reported: 
Total Hrs.: 88.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1971 [72]
Count Date: 12/18/1971
# Participants: 
# Species Reported: 
Total Hrs.: 104.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1972 [73]
Count Date: 12/16/1972
# Participants: 
# Species Reported: 
Total Hrs.: 122.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1973 [74]
Count Date: 12/15/1973
# Participants: 
# Species Reported: 
Total Hrs.: 135.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1974 [75]
Count Date: 12/14/1974
# Participants: 
# Species Reported: 
Total Hrs.: 192.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1975 [76]
Count Date: 12/21/1975
# Participants: 
# Species Reported: 
Total Hrs.: 180.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1976 [77]
Count Date: 12/18/1976
# Participants: 
# Species Reported: 
Total Hrs.: 196.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1977 [78]
Count Date: 12/17/1977
# Participants: 
# Species Reported: 
Total Hrs.: 169.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1978 [79]
Count Date: 12/16/1978
# Participants: 
# Species Reported: 
Total Hrs.: 185.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1979 [80]
Count Date: 12/15/1979
# Participants: 
# Species Reported: 
Total Hrs.: 182.50",,,
"Barrow's Goldeneye
[Bucephala islandica]","1980 [81]
Count Date: 12/20/1980
# Participants: 
# Species Reported: 
Total Hrs.: 189.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1981 [82]
Count Date: 12/19/1981
# Participants: 
# Species Reported: 
Total Hrs.: 202.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1982 [83]
Count Date: 12/18/1982
# Participants: 
# Species Reported: 
Total Hrs.: 233.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1983 [84]
Count Date: 12/17/1983
# Participants: 
# Species Reported: 
Total Hrs.: 190.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1984 [85]
Count Date: 12/15/1984
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1985 [86]
Count Date: 12/21/1985
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1986 [87]
Count Date: 12/20/1986
# Participants: 
# Species Reported: 
Total Hrs.: 220.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1987 [88]
Count Date: 12/19/1987
# Participants: 
# Species Reported: 
Total Hrs.: 228.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1988 [89]
Count Date: 12/17/1988
# Participants: 
# Species Reported: 
Total Hrs.: 243.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1989 [90]
Count Date: 12/16/1989
# Participants: 
# Species Reported: 
Total Hrs.: 215.00",,,
"Barrow's Goldeneye
[Bucephala islandica]","1990 [91]
Count Date: 12/16/1990
# Participants: 
# Species Reported: 84
